0.1	0.01	206.34
0.15	0.01	233.892
0.2	0.01	246.288
0.25	0.01	249.476
0.3	0.01	248.352
0.35	0.01	248.412
0.4	0.01	251.024
0.45	0.01	251.656
0.5	0.01	251.084
0.55	0.01	250.108
0.6	0.01	250.428
0.65	0.01	247.796
0.7	0.01	251.068
0.75	0.01	250.08
0.8	0.01	251.872
0.85	0.01	249.824
0.9	0.01	245.7
0.95	0.01	229.5
0.1	0.015	198.988
0.15	0.015	230.532
0.2	0.015	243.5
0.25	0.015	247.78
0.3	0.015	247.548
0.35	0.015	248.02
0.4	0.015	249.192
0.45	0.015	251.608
0.5	0.015	248.636
0.55	0.015	247.848
0.6	0.015	249.368
0.65	0.015	248.192
0.7	0.015	249.856
0.75	0.015	247.48
0.8	0.015	249.688
0.85	0.015	247.68
0.9	0.015	242.248
0.95	0.015	222.94
0.1	0.02	189.992
0.15	0.02	227.224
0.2	0.02	241.68
0.25	0.02	246.156
0.3	0.02	246.056
0.35	0.02	248.148
0.4	0.02	250.18
0.45	0.02	249.144
0.5	0.02	248.512
0.55	0.02	247.776
0.6	0.02	249.548
0.65	0.02	248.048
0.7	0.02	247.844
0.75	0.02	247.512
0.8	0.02	248.828
0.85	0.02	248.24
0.9	0.02	241.072
0.95	0.02	217.596
0.1	0.025	182.268
0.15	0.025	221.468
0.2	0.025	237.768
0.25	0.025	244.292
0.3	0.025	243.82
0.35	0.025	246.076
0.4	0.025	248.948
0.45	0.025	246.912
0.5	0.025	247.448
0.55	0.025	244.504
0.6	0.025	245.068
0.65	0.025	245.428
0.7	0.025	245.864
0.75	0.025	246.02
0.8	0.025	246.952
0.85	0.025	244.024
0.9	0.025	236.64
0.95	0.025	212.972
0.1	0.03	171.104
0.15	0.03	213.136
0.2	0.03	232.192
0.25	0.03	239.272
0.3	0.03	239.972
0.35	0.03	239.436
0.4	0.03	242.856
0.45	0.03	242.716
0.5	0.03	243.244
0.55	0.03	241.104
0.6	0.03	240.888
0.65	0.03	240.936
0.7	0.03	240.924
0.75	0.03	242.192
0.8	0.03	241.092
0.85	0.03	238.64
0.9	0.03	232.184
0.95	0.03	204.508
0.1	0.035	161.372
0.15	0.035	204.608
0.2	0.035	225.372
0.25	0.035	231.868
0.3	0.035	236.068
0.35	0.035	235.904
0.4	0.035	238.612
0.45	0.035	237.944
0.5	0.035	237.28
0.55	0.035	236.432
0.6	0.035	235.728
0.65	0.035	236.58
0.7	0.035	235.56
0.75	0.035	236.8
0.8	0.035	238
0.85	0.035	232.868
0.9	0.035	226.436
0.95	0.035	195.74
0.1	0.04	153.492
0.15	0.04	197.536
0.2	0.04	218.476
0.25	0.04	227.06
0.3	0.04	228.748
0.35	0.04	231.652
0.4	0.04	233.664
0.45	0.04	233.368
0.5	0.04	232.564
0.55	0.04	230.868
0.6	0.04	231.94
0.65	0.04	231.704
0.7	0.04	232.864
0.75	0.04	232.82
0.8	0.04	232.588
0.85	0.04	228.212
0.9	0.04	219.068
0.95	0.04	188.584
0.1	0.045	144
0.15	0.045	190.04
0.2	0.045	214.36
0.25	0.045	222.14
0.3	0.045	223.82
0.35	0.045	226.596
0.4	0.045	227.016
0.45	0.045	227.932
0.5	0.045	228.348
0.55	0.045	225.312
0.6	0.045	227.18
0.65	0.045	224.488
0.7	0.045	228.516
0.75	0.045	227.152
0.8	0.045	227.412
0.85	0.045	224.284
0.9	0.045	214.488
0.95	0.045	180.692
0.1	0.05	135.216
0.15	0.05	182.94
0.2	0.05	206.32
0.25	0.05	215.084
0.3	0.05	219.764
0.35	0.05	221.524
0.4	0.05	221.788
0.45	0.05	224.204
0.5	0.05	223.804
0.55	0.05	221.64
0.6	0.05	222.468
0.65	0.05	222.264
0.7	0.05	222.62
0.75	0.05	222.508
0.8	0.05	221.248
0.85	0.05	219.892
0.9	0.05	207.68
0.95	0.05	175.42
0.1	0.055	127.28
0.15	0.055	175.9
0.2	0.055	199.836
0.25	0.055	210.888
0.3	0.055	214.86
0.35	0.055	215.884
0.4	0.055	216.408
0.45	0.055	219.82
0.5	0.055	220.452
0.55	0.055	217.32
0.6	0.055	218.276
0.65	0.055	219.204
0.7	0.055	219.004
0.75	0.055	218.008
0.8	0.055	217.68
0.85	0.055	214.012
0.9	0.055	203.112
0.95	0.055	167.468
0.1	0.06	120.352
0.15	0.06	168.232
0.2	0.06	192.616
0.25	0.06	204.712
0.3	0.06	211.028
0.35	0.06	212.004
0.4	0.06	212.52
0.45	0.06	216.096
0.5	0.06	214.168
0.55	0.06	213.588
0.6	0.06	213.24
0.65	0.06	213.364
0.7	0.06	212.808
0.75	0.06	213.048
0.8	0.06	211.18
0.85	0.06	208.2
0.9	0.06	196.856
0.95	0.06	159.876
0.1	0.065	114.728
0.15	0.065	161.132
0.2	0.065	188.948
0.25	0.065	199.528
0.3	0.065	204.78
0.35	0.065	207.432
0.4	0.065	207.1
0.45	0.065	209.9
0.5	0.065	210.608
0.55	0.065	209.948
0.6	0.065	209.74
0.65	0.065	209.084
0.7	0.065	208.92
0.75	0.065	207.188
0.8	0.065	207.14
0.85	0.065	203.444
0.9	0.065	191.7
0.95	0.065	155.624
0.1	0.07	108.592
0.15	0.07	155.552
0.2	0.07	182.884
0.25	0.07	195.408
0.3	0.07	199.632
0.35	0.07	202.632
0.4	0.07	203.64
0.45	0.07	205.056
0.5	0.07	203.272
0.55	0.07	204.292
0.6	0.07	204.42
0.65	0.07	205.156
0.7	0.07	205.016
0.75	0.07	203.884
0.8	0.07	203.456
0.85	0.07	198.38
0.9	0.07	185.764
