4	0.02	3.0715
6	0.02	2.7735
8	0.02	3.198
10	0.02	3.7535
12	0.02	4.192
14	0.02	4.68
16	0.02	4.9555
18	0.02	5.169
20	0.02	5.3715
22	0.02	5.4505
24	0.02	5.5145
26	0.02	5.5335
28	0.02	5.4815
30	0.02	5.5085
32	0.02	5.552
34	0.02	5.5945
36	0.02	5.536
38	0.02	5.4865
40	0.02	5.51
42	0.02	5.498
44	0.02	5.4985
46	0.02	5.488
48	0.02	5.4755
50	0.02	5.54
52	0.02	5.5425
54	0.02	5.5605
56	0.02	5.4235
58	0.02	5.5075
60	0.02	5.4585
62	0.02	5.4495
64	0.02	5.485
66	0.02	5.525
68	0.02	5.502
70	0.02	5.45
72	0.02	5.425
74	0.02	5.3725
76	0.02	5.416
78	0.02	5.3485
80	0.02	5.3385
82	0.02	5.344
84	0.02	5.235
86	0.02	5.058
88	0.02	4.6405
90	0.02	4.2645
92	0.02	3.725
94	0.02	3.153
96	0.02	2.7865
98	0.02	3.047
4	0.03	2.483
6	0.03	2.283
8	0.03	2.6415
10	0.03	3.197
12	0.03	3.6185
14	0.03	4.0605
16	0.03	4.3075
18	0.03	4.7105
20	0.03	4.898
22	0.03	5.1765
24	0.03	5.3205
26	0.03	5.4195
28	0.03	5.3845
30	0.03	5.4255
32	0.03	5.3895
34	0.03	5.4425
36	0.03	5.3465
38	0.03	5.432
40	0.03	5.41
42	0.03	5.4715
44	0.03	5.4675
46	0.03	5.4395
48	0.03	5.508
50	0.03	5.448
52	0.03	5.4085
54	0.03	5.487
56	0.03	5.525
58	0.03	5.482
60	0.03	5.4535
62	0.03	5.506
64	0.03	5.5535
66	0.03	5.5165
68	0.03	5.5365
70	0.03	5.405
72	0.03	5.3755
74	0.03	5.3375
76	0.03	5.102
78	0.03	5.051
80	0.03	4.9545
82	0.03	4.8785
84	0.03	4.6885
86	0.03	4.433
88	0.03	4.1135
90	0.03	3.6025
92	0.03	3.116
94	0.03	2.5555
96	0.03	2.2575
98	0.03	2.471
4	0.04	2.1485
6	0.04	1.98
8	0.04	2.269
10	0.04	2.725
12	0.04	3.3285
14	0.04	3.7055
16	0.04	3.9995
18	0.04	4.349
20	0.04	4.51
22	0.04	4.696
24	0.04	4.9785
26	0.04	5.1755
28	0.04	5.177
30	0.04	5.26
32	0.04	5.4035
34	0.04	5.4575
36	0.04	5.3605
38	0.04	5.3945
40	0.04	5.3265
42	0.04	5.368
44	0.04	5.4715
46	0.04	5.4715
48	0.04	5.472
50	0.04	5.3665
52	0.04	5.4385
54	0.04	5.3585
56	0.04	5.3435
58	0.04	5.3215
60	0.04	5.344
62	0.04	5.3485
64	0.04	5.4375
66	0.04	5.441
68	0.04	5.317
70	0.04	5.397
72	0.04	5.295
74	0.04	5.166
76	0.04	5.0855
78	0.04	4.861
80	0.04	4.6655
82	0.04	4.5395
84	0.04	4.265
86	0.04	3.96
88	0.04	3.54
90	0.04	3.199
92	0.04	2.6305
94	0.04	2.2205
96	0.04	1.925
98	0.04	2.1195
4	0.05	1.8245
6	0.05	1.708
8	0.05	2.0295
10	0.05	2.4335
12	0.05	2.8905
14	0.05	3.338
16	0.05	3.7095
18	0.05	4.0095
20	0.05	4.195
22	0.05	4.4705
24	0.05	4.632
26	0.05	4.827
28	0.05	5.016
30	0.05	5.074
32	0.05	5.2565
34	0.05	5.247
36	0.05	5.3295
38	0.05	5.364
40	0.05	5.361
42	0.05	5.386
44	0.05	5.3945
46	0.05	5.389
48	0.05	5.3805
50	0.05	5.253
52	0.05	5.317
54	0.05	5.363
56	0.05	5.319
58	0.05	5.322
60	0.05	5.2775
62	0.05	5.2725
64	0.05	5.3605
66	0.05	5.33
68	0.05	5.284
70	0.05	5.2175
72	0.05	5.0375
74	0.05	5.052
76	0.05	4.8905
78	0.05	4.709
80	0.05	4.44
82	0.05	4.2495
84	0.05	3.884
86	0.05	3.5925
88	0.05	3.2635
90	0.05	2.856
92	0.05	2.3835
94	0.05	1.986
96	0.05	1.6775
98	0.05	1.8115
4	0.06	1.6825
6	0.06	1.4995
8	0.06	1.795
10	0.06	2.201
12	0.06	2.6745
14	0.06	3.114
16	0.06	3.4435
18	0.06	3.7445
20	0.06	3.949
22	0.06	4.174
24	0.06	4.401
26	0.06	4.634
28	0.06	4.7495
30	0.06	4.9525
32	0.06	5.001
34	0.06	5.1825
36	0.06	5.1375
38	0.06	5.1755
40	0.06	5.3305
42	0.06	5.323
44	0.06	5.2475
46	0.06	5.3505
48	0.06	5.292
50	0.06	5.3155
52	0.06	5.294
54	0.06	5.3325
56	0.06	5.315
58	0.06	5.3085
60	0.06	5.21
62	0.06	5.1855
64	0.06	5.188
66	0.06	5.096
68	0.06	5.126
70	0.06	5.074
72	0.06	4.945
74	0.06	4.838
76	0.06	4.598
78	0.06	4.456
80	0.06	4.2775
82	0.06	3.9995
84	0.06	3.6785
86	0.06	3.3555
88	0.06	2.9465
90	0.06	2.578
92	0.06	2.149
94	0.06	1.7765
96	0.06	1.509
98	0.06	1.578
4	0.07	1.5825
6	0.07	1.431
8	0.07	1.635
10	0.07	2.049
12	0.07	2.4915
14	0.07	2.829
16	0.07	3.1685
18	0.07	3.5505
20	0.07	3.7705
22	0.07	4.016
24	0.07	4.204
26	0.07	4.412
28	0.07	4.523
30	0.07	4.6885
32	0.07	4.8465
34	0.07	4.8675
36	0.07	4.986
38	0.07	5.057
40	0.07	5.152
42	0.07	5.1665
44	0.07	5.24
46	0.07	5.351
48	0.07	5.3085
50	0.07	5.27
52	0.07	5.2375
54	0.07	5.198
